City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kavieng,100,PG,1572065351,64,-2.57,150.8,302.22,0.64
Talgar,20,KZ,1572065351,53,43.3,77.24,283.15,1.0
Blagoyevo,100,RU,1572065352,90,63.37,47.92,279.66,6.35
Fort Nelson,75,CA,1572065352,80,58.81,-122.69,272.15,1.5
Nouadhibou,2,MR,1572065352,61,20.93,-17.03,299.15,4.1
Tuktoyaktuk,90,CA,1572065352,78,69.44,-133.03,265.15,1.5
Merzifon,75,TR,1572065353,71,40.87,35.46,286.15,0.5
Humaita,2,AR,1572065353,67,-24.93,-65.37,297.15,0.46
Tazovskiy,95,RU,1572065353,94,67.47,78.7,266.38,5.31
Nuevo Imperial,48,PE,1572065353,90,-13.08,-76.32,288.42,1.39
Lorengau,100,PG,1572065353,61,-2.02,147.27,302.36,0.2
Muros,49,ES,1572065354,87,42.77,-9.06,286.15,4.6
Praia,40,BR,1572065354,57,-20.25,-43.81,297.15,5.1
Netivot,98,IL,1572065354,42,31.42,34.59,297.95,5.17
Sens,39,FR,1572065354,87,48.2,3.28,284.15,4.1
Narsaq,67,GL,1572065354,46,60.91,-46.05,272.15,2.6
Laguna,98,BZ,1572065355,94,16.17,-88.94,298.15,0.75
Pitimbu,75,BR,1572065355,83,-7.47,-34.81,298.15,3.6
Mahebourg,20,MU,1572065355,69,-20.41,57.7,299.15,2.11
Bowling Green,90,US,1572065111,87,36.99,-86.44,287.15,4.1
Alyangula,90,AU,1572065355,49,-13.85,136.42,307.15,5.7
Tiksi,65,RU,1572065356,87,71.64,128.87,258.93,1.94
Manokwari,91,ID,1572065165,89,-0.87,134.08,297.15,1.02
Biak,7,ID,1572065356,75,-0.91,122.88,301.43,5.31
Tiznit,100,MA,1572065356,24,29.7,-9.73,293.7,0.44
Sovetskiy,84,RU,1572065357,83,56.76,48.47,280.25,9.36
Fairbanks,90,US,1572065357,85,64.84,-147.72,271.15,2.6
Husavik,73,CA,1572065357,79,50.56,-96.99,280.11,8.09
Nantucket,75,US,1572065357,93,41.28,-70.1,287.15,5.43
Souillac,90,FR,1572065357,93,45.6,-0.6,285.15,2.1
Maningrida,64,AU,1572065358,50,-12.05,134.23,304.26,5.19
Lasa,0,CY,1572065358,64,34.92,32.53,293.15,1.5
Pontes e Lacerda,100,BR,1572065358,96,-15.23,-59.33,295.08,1.31
Skara,90,SE,1572065358,100,58.38,13.44,282.15,4.6
Mpika,2,ZM,1572065358,42,-11.84,31.4,297.74,4.66
Yoichi,75,JP,1572065359,67,43.19,140.77,288.15,5.1
Chuy,0,UY,1572065359,89,-33.69,-53.46,288.09,2.39
Dezful,26,IR,1572065118,37,32.38,48.4,299.1,1.6
Tapejara,14,BR,1572065359,57,-23.73,-52.87,294.87,1.21
Los Llanos de Aridane,75,ES,1572065360,88,28.66,-17.92,293.15,2.1
North Platte,1,US,1572065360,55,41.12,-100.77,277.15,1.5
San Patricio,0,PY,1572065360,74,-26.98,-56.83,288.3,2.77
Lavrentiya,72,RU,1572065361,71,65.58,-170.99,268.98,8.36
Nyzy,18,UA,1572065361,85,50.78,34.78,281.75,1.64
Nome,90,US,1572065361,93,30.04,-94.42,286.15,6.7
La Venta del Astillero,40,MX,1572065361,77,20.73,-103.55,291.15,0.83
Clyde River,90,CA,1572065361,94,70.47,-68.59,273.15,8.2
Tefe,100,BR,1572065362,96,-3.35,-64.71,295.82,0.21
Elko,1,US,1572065362,52,40.83,-115.76,279.15,1.5
San Rafael,2,AR,1572065362,60,-34.61,-68.33,291.28,1.77
Vardo,90,US,1572065362,87,39.62,-77.74,287.15,2.1
Jacobina,11,BR,1572065362,95,-11.19,-40.51,289.86,2.46
Magdalena,40,PH,1572065363,52,14.2,121.43,306.15,5.1
Saldanha,16,PT,1572065363,71,41.42,-6.55,283.54,1.17
Ancud,75,CL,1572065363,93,-41.87,-73.83,283.15,5.1
Xining,0,CN,1572065363,43,36.62,101.77,279.67,2.0
Maceio,75,BR,1572065363,94,-9.67,-35.74,296.15,1.0
Shache,0,CN,1572065364,20,38.42,77.24,287.95,0.6
Presidente Medici,100,BR,1572065364,96,-11.18,-61.9,295.85,1.47
Florianopolis,75,BR,1572065364,77,-27.6,-48.55,294.15,4.1
Weyburn,17,CA,1572065169,67,49.67,-103.85,282.21,9.9
Kalamnuri,75,IN,1572065364,94,19.67,77.31,299.15,2.1
Cartersville,90,US,1572065365,88,34.17,-84.8,293.15,1.5
Tanout,53,NE,1572065365,25,14.97,8.88,300.61,3.48
Mocuba,0,MZ,1572065365,40,-16.84,36.99,307.5,3.92
Brylivka,75,UA,1572065365,93,46.42,33.15,279.15,3.0
College,90,US,1572065365,85,64.86,-147.8,273.15,2.6
Tullahoma,90,US,1572065366,93,35.36,-86.21,290.15,2.1
Umm Kaddadah,8,SD,1572065366,20,13.6,26.69,300.16,8.35
Suzun,100,RU,1572065366,93,53.78,82.32,273.92,5.52
Petropavlovsk-Kamchatskiy,63,RU,1572065367,55,53.05,158.65,277.15,3.0
Rocha,0,UY,1572065367,82,-34.48,-54.34,289.26,4.67
Tilichiki,0,RU,1572065367,59,60.47,166.1,264.29,1.93
Westport,90,US,1572065360,93,41.14,-73.36,290.15,2.79
Simao,98,CN,1572065367,75,22.76,100.79,295.94,2.0
Koutiala,1,ML,1572065367,49,12.39,-5.46,299.32,3.18
Eresos,0,GR,1572065368,87,39.17,25.93,288.15,2.1
Fougamou,100,GA,1572065368,97,-1.22,10.59,296.25,0.97
Srednekolymsk,0,RU,1572065368,92,67.46,153.71,251.75,1.37
Puerto Escondido,100,MX,1572065368,99,15.86,-97.07,294.36,1.2
Loveland,1,US,1572065369,80,40.4,-105.08,281.15,1.11
Vangaindrano,0,MG,1572065369,61,-23.35,47.6,302.73,1.19
Sibolga,47,ID,1572065369,93,1.74,98.78,298.75,1.63
Ahuimanu,1,US,1572065370,58,21.44,-157.84,301.15,4.6
Peniche,59,PT,1572065370,93,39.36,-9.38,284.15,2.1
Isangel,75,VU,1572065370,57,-19.55,169.27,299.15,6.2
Hambantota,90,LK,1572065370,100,6.12,81.12,298.15,2.1
Siayan,71,PH,1572065371,62,8.25,123.11,302.83,1.49
Belawan,100,ID,1572065371,71,-0.59,114.46,302.47,1.46
Ribeira Grande,100,PT,1572065371,85,38.52,-28.7,291.23,7.32
Pundaguitan,67,PH,1572065371,68,6.37,126.17,301.85,1.32
Thinadhoo,88,MV,1572065371,78,0.53,72.93,300.78,5.21
Ipixuna,7,BR,1572065372,88,-1.76,-48.8,298.15,2.1
Necochea,43,AR,1572065372,87,-38.55,-58.74,283.03,2.66
Payakumbuh,44,ID,1572065372,80,-0.23,100.63,299.1,1.1
Soyo,100,AO,1572065372,87,-6.13,12.37,298.54,1.2
Mursalimkino,100,RU,1572065372,82,55.04,58.56,278.83,4.94
Miles City,1,US,1572065372,57,46.41,-105.84,282.15,5.1
Along,100,IN,1572065373,98,28.17,94.8,289.22,0.99
Vieste,1,IT,1572065373,93,41.88,16.18,288.15,4.1
Ostrovnoy,100,RU,1572065373,96,68.05,39.51,271.83,12.63
Tuy Hoa,10,VN,1572065373,81,13.08,109.3,300.54,4.72
Umm Lajj,0,SA,1572065373,26,25.02,37.27,298.97,5.01
Petatlan,16,MX,1572065373,78,17.52,-101.27,300.11,2.6
West Wendover,1,US,1572065374,41,40.74,-114.07,279.15,2.6
Blois,59,FR,1572065374,100,47.59,1.33,283.15,1.0
Olenegorsk,100,RU,1572065374,93,68.14,33.28,271.29,7.4
Volkach,40,DE,1572065374,100,49.86,10.23,281.15,1.5
Joniskis,75,LT,1572065374,93,56.24,23.62,283.15,5.1
Viedma,100,AR,1572065375,61,-40.81,-62.99,288.5,6.01
Mount Isa,74,AU,1572065375,14,-20.73,139.49,309.15,3.1
Xiongzhou,20,CN,1572065375,55,32.34,118.83,289.15,2.0
Sorland,100,NO,1572065375,76,67.67,12.69,279.91,3.89
San Juan,0,AR,1572065200,38,-31.54,-68.53,297.24,9.06
Vao,92,EE,1572065376,77,59.1,26.19,280.7,5.65
Campos,52,PT,1572065376,76,41.97,-8.7,286.15,3.6
Shimoda,75,JP,1572065376,83,34.7,138.93,296.15,1.0
Mecca,0,SA,1572065102,43,21.43,39.83,302.09,0.68
Lahaina,1,US,1572065377,65,20.87,-156.68,301.15,6.54
Iqaluit,90,CA,1572065377,81,63.75,-68.52,274.15,1.5
Saucillo,0,MX,1572065377,39,28.03,-105.29,281.56,0.89
Kitami,75,JP,1572065377,81,43.8,143.9,285.15,1.5
State College,75,US,1572065377,66,40.79,-77.86,285.15,0.7
Euless,90,US,1572065338,100,32.84,-97.08,283.15,2.6
Skelleftea,100,SE,1572065378,83,64.75,20.95,274.15,6.2
Zarate,28,MX,1572065378,96,18.92,-101.44,290.8,1.81
Belaya Gora,8,RU,1572065378,93,68.54,146.19,251.07,1.07
Pemba,20,MZ,1572065378,94,-12.97,40.52,298.15,2.1
Tromso,75,NO,1572065198,69,69.65,18.96,275.15,8.7
Lompoc,1,US,1572065277,33,34.64,-120.46,293.15,1.5
Coromandel,100,BR,1572065379,86,-18.47,-47.2,292.14,1.98
Horodyshche,9,UA,1572065379,100,50.76,29.29,282.15,1.0
Constitucion,0,MX,1572065380,68,23.99,-104.67,281.75,1.75
Bredy,100,RU,1572065380,74,52.43,60.33,281.75,5.23
Namatanai,100,PG,1572065380,66,-3.66,152.44,302.42,1.63
Acapulco,40,MX,1572065380,88,16.86,-99.88,299.15,3.6
Kardla,100,EE,1572065380,76,58.44,26.57,283.15,6.2
Lixourion,31,GR,1572065381,87,38.2,20.43,287.15,2.56
Petrokamenskoye,74,RU,1572065381,81,57.72,60.65,279.71,5.5
Gimli,73,CA,1572065381,79,50.63,-96.99,280.11,8.09
Bethel,90,US,1572065113,93,60.79,-161.76,275.15,5.1
Vila Franca do Campo,40,PT,1572065382,83,37.72,-25.43,294.15,4.1
West Bay,20,CA,1572065382,81,49.34,-123.21,284.15,11.8
Mitsamiouli,40,KM,1572065382,69,-11.38,43.28,301.15,2.6
Moses Lake,1,US,1572065382,37,47.13,-119.28,284.15,6.7
Nirgua,100,VE,1572065382,96,10.15,-68.57,292.0,0.18
Najran,47,SA,1572065382,18,17.54,44.22,291.15,2.1
Ketchikan,90,US,1572065383,100,55.34,-131.65,280.15,2.6
Porto Belo,75,BR,1572065383,77,-27.15,-48.54,295.15,4.1
Sao Simao,0,BR,1572065383,64,-21.48,-47.55,296.15,1.5
Williams Lake,75,CA,1572065383,64,52.13,-122.14,275.15,3.6
Quang Ngai,49,VN,1572065263,79,15.12,108.8,300.83,3.82
Boditi,0,ET,1572065384,49,6.95,37.86,292.06,4.0
Marrakesh,50,MA,1572065384,37,31.63,-7.99,292.15,1.0
Beringovskiy,94,RU,1572065384,93,63.05,179.32,266.06,14.28
Lagoa,0,PT,1572065384,77,37.14,-8.45,290.15,4.1
Springhill,100,CA,1572065384,82,45.64,-64.06,276.91,1.04
Hitoyoshi,75,JP,1572065385,60,32.2,130.77,295.15,2.6
Hay River,90,CA,1572065106,68,60.82,-115.79,269.15,3.6
Mahibadhoo,81,MV,1572065385,72,3.78,72.97,301.25,3.83
Baiculesti,0,RO,1572065385,51,45.07,24.7,284.78,0.86
Prudy,7,UA,1572065386,78,51.33,33.8,280.57,2.55
Galveston,1,US,1572065386,86,40.58,-86.19,281.15,1.5
Presidencia Roque Saenz Pena,0,AR,1572065386,55,-26.79,-60.44,292.41,3.79
Ilulissat,74,GL,1572065386,40,69.22,-51.1,274.15,7.2
Gbarnga,83,LR,1572065386,99,7.0,-9.47,293.98,0.62
Veraval,75,FR,1572065125,93,49.65,0.71,288.15,5.1
Caluquembe,92,AO,1572065387,55,-13.78,14.68,294.37,1.34
Halifax,90,CA,1572065387,81,44.65,-63.58,280.15,3.1
Paamiut,65,GL,1572065387,51,61.99,-49.67,274.8,2.37
Kollam,75,IN,1572065387,78,8.88,76.6,301.15,2.1
Teya,40,MX,1572065387,88,21.05,-89.07,298.15,1.19
Berlevag,100,NO,1572065388,76,70.86,29.09,272.76,9.18
Tamala,57,RU,1572065388,84,52.54,43.26,283.02,4.06
Pangnirtung,100,CA,1572065388,99,66.15,-65.72,274.59,1.02
Camargo,0,MX,1572065388,39,27.69,-105.17,282.72,2.6
Surgut,75,RU,1572065389,100,61.25,73.4,267.15,4.0
Azare,96,NG,1572065389,66,11.67,10.19,297.66,1.76
Sungairaya,93,ID,1572065389,62,0.7,108.9,304.26,1.15
Havelock,40,US,1572065389,82,34.88,-76.9,293.15,1.45
Itaqui,26,BR,1572065389,71,-29.13,-56.55,286.96,3.89
Vasyurinskaya,90,RU,1572065389,93,45.12,39.42,284.15,1.0
Vilhena,100,BR,1572065390,97,-12.74,-60.15,293.7,1.95
Dongsheng,100,CN,1572065390,60,29.72,112.52,286.67,3.54
Buraydah,40,SA,1572065390,100,26.33,43.97,293.15,1.06
Tuatapere,74,NZ,1572065390,67,-46.13,167.69,289.37,3.42
Darlington,1,US,1572065391,93,34.3,-79.88,291.15,2.09
Livingston,90,US,1572065391,100,32.58,-88.19,291.15,3.1
Mwandiga,69,TZ,1572065391,72,-4.84,29.66,298.07,3.82
Mugla,0,BG,1572065391,81,41.62,24.49,280.15,2.31
San Lorenzo,100,HN,1572065392,97,13.43,-87.45,295.93,1.05
Pembroke,90,CA,1572065392,93,45.82,-77.11,278.15,1.0
Samarai,56,PG,1572065392,74,-10.62,150.67,300.39,3.28
Gravdal,91,NO,1572065392,93,59.79,5.78,279.15,4.1
Grand-Lahou,100,CI,1572065392,87,5.24,-5.0,299.35,7.41
Kahului,20,US,1572065393,65,20.89,-156.47,301.15,4.1
Coihaique,75,CL,1572065393,76,-45.58,-72.07,283.15,3.6
Rawson,100,AR,1572065393,65,-43.3,-65.11,286.61,6.03
Muravlenko,40,RU,1572065393,93,63.79,74.5,263.76,5.68
Chapada dos Guimaraes,40,BR,1572065393,61,-15.46,-55.75,300.15,5.1
Cervo,11,BR,1572065394,91,-22.19,-46.24,289.76,2.33
Urengoy,95,RU,1572065394,94,65.96,78.37,265.62,4.27
Hualmay,16,PE,1572065394,89,-11.1,-77.61,286.76,1.13
Kadhan,0,PK,1572065394,20,24.48,68.99,307.06,4.51
Bontoc,13,PH,1572065394,60,17.09,120.98,296.99,2.13
Ngunguru,0,NZ,1572065394,65,-35.62,174.5,290.58,2.83
La Asuncion,0,AR,1572065395,72,-26.05,-65.39,287.43,2.48
Hervey Bay,0,AU,1572065395,44,-25.3,152.85,299.15,6.2
Kirakira,95,SB,1572065395,83,-10.46,161.92,299.95,3.82
Canutama,85,BR,1572065395,88,-6.53,-64.38,296.51,0.93
Ust-Nera,100,RU,1572065395,98,64.57,143.24,253.92,2.6
Torbat-e Jam,95,IR,1572065396,39,35.24,60.63,284.83,2.45
